NLL.Sum,NLL.Mean
inf,inf
18299.250027739956,0.9759600014794638
18250.177469334754,0.9733427983645205
18199.477609660218,0.9706388058485453
18147.07944341215,0.9678442369819815
18092.909580530686,0.9649551776283025
18036.892425901606,0.9619675960480849
17978.950451285924,0.9588773574019159
17919.004593081354,0.9556802449643392
17856.974822701963,0.9523719905441043
17792.780954575068,0.9489483175773371
17726.3437815743,0.9454050016839624
17657.586660949637,0.9417379552506464
17586.43771730881,0.9379433449231364
17512.832884334013,0.9340177538311469
17436.720073669007,0.9299584039290134
17358.064834645495,0.9257634578477597
17276.857943008392,0.9214324236271143
17193.12541052489,0.9169666885613275
17106.94140253553,0.9123702081352278
17018.444422520457,0.9076503692010912
16927.85677121249,0.9028190277979993
16835.50657528574,0.8978936840152393
16741.85045890157,0.892898691141417
16647.493131054376,0.8878663003228997
16553.197982863243,0.8828372257527062
